,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,0
0,butaritari,84,KI,1584903142,79,3.07,172.79,28.15,6.47,
1,victoria,0,HK,1584903076,88,22.29,114.16,25,2.6,
2,meulaboh,40,ID,1584903202,78,4.14,96.13,28.25,3.39,
3,sao jose da coroa grande,79,BR,1584903202,79,-8.9,-35.15,28.35,7.14,
4,tura,0,IN,1584902903,48,25.52,90.22,21.75,1.18,
5,rikitea,15,PF,1584903141,73,-23.12,-134.97,25.65,1.66,
6,ushuaia,98,AR,1584902992,58,-54.8,-68.3,12,1.5,
7,mataura,100,NZ,1584903203,91,-46.19,168.86,8.89,1.79,
8,malanville,56,BJ,1584903203,22,11.87,3.39,35.95,2.52,
9,hurghada,0,EG,1584903043,48,27.26,33.81,18,1.16,
10,port alfred,60,ZA,1584903203,94,-33.59,26.89,20.56,0.89,
11,panzhihua,2,CN,1584903203,53,26.59,101.71,10.95,0.74,
12,sao felix do xingu,93,BR,1584903203,59,-6.64,-51.99,31.25,0.86,
13,busselton,0,AU,1584903203,56,-33.65,115.33,17.78,7.54,
14,saint george,64,US,1584903143,36,37.1,-113.58,15,2.6,
15,tambopata,75,PE,1584903204,100,-12.73,-69.18,1,1.5,
16,puerto ayora,20,EC,1584903204,70,-0.74,-90.35,29,5.7,
17,waddan,0,LY,1584903204,22,29.16,16.14,24.25,3.83,
18,bambous virieux,75,MU,1584903204,78,-20.34,57.76,27,3.6,
19,yellowknife,75,CA,1584903204,73,62.46,-114.35,-3,5.1,
20,chokurdakh,46,RU,1584903204,71,70.63,147.92,-20.65,1.48,
21,luderitz,0,NA,1584903205,64,-26.65,15.16,22,8.7,
22,vung tau,2,VN,1584903206,85,10.35,107.08,25.25,3.87,
23,nikolskoye,2,RU,1584903142,58,59.7,30.79,-2.78,2,
24,nome,90,US,1584903206,92,64.5,-165.41,-7,1.5,
25,tuktoyaktuk,90,CA,1584903206,77,69.45,-133.04,-17,9.3,
